"place_id","name","address","city","lat","lng","phone","website","rating","reviews_count","hours"
"ChIJadHET_axjxIRGOJLuLvtGFI","HM spa et sport","PWXX+XFR, Chéraga","Alger",36.74958970000001,2.9481484,"+213 23 30 57 99","https://www.facebook.com/HM-SPA-SPORT-107261865081795",3.7,154,"lundi: 07:00 – 23:00; mardi: 07:00 – 23:00; mercredi: 07:00 – 23:00; jeudi: 07:00 – 23:00; vendredi: 07:00 – 23:00; samedi: 07:00 – 23:00; dimanche: 07:00 – 23:00"
"ChIJ8wQ0Br-xjxIRlN7GeE9H8QQ","BRfoot","Unnamed Road, PWXX+JG3, Chéraga","Alger",36.749009699999995,2.9488072,"+213 555 70 30 39","https://web.facebook.com/BRfoot-782956862083580/?ref=br_rs",4,162,"lundi: 08:00 – 00:00; mardi: 08:00 – 00:00; mercredi: 08:00 – 00:00; jeudi: 08:00 – 00:00; vendredi: 08:00 – 00:00; samedi: 08:00 – 00:00; dimanche: 08:00 – 00:00"
"ChIJ87lQL0RRjhIRoK3Z_Aimaqs","California Gym","P55Q+75, Bab Ezzouar 16311","Alger",36.7088584,3.1907538,"+213 780 80 50 88","",4.4,139,"lundi: 07:00 – 22:00; mardi: 07:00 – 22:00; mercredi: 07:00 – 22:00; jeudi: 07:00 – 22:00; vendredi: 08:00 – 13:00; samedi: 08:00 – 18:00; dimanche: 07:00 – 22:00"
"ChIJd-zKUF6xjxIROOk5ORe8yw4","FLEXON Club99","amara, Chéraga 16014","Alger",36.755993,2.9510061999999997,"+213 549 11 70 10","http://club99-flexon.com/",4.1,118,"lundi: 06:00 – 23:00; mardi: 06:00 – 23:00; mercredi: 06:00 – 23:00; jeudi: 06:00 – 23:00; vendredi: 08:00 – 12:00, 15:00 – 23:00; samedi: 06:00 – 23:00; dimanche: 06:00 – 23:00"
"ChIJvStaVbmtjxIRdUVxesIlutU","Citi'Zen Gym Club","1 lot Djenane Boudjakdji, Birkhadem 16029","Alger",36.7230639,3.0422906999999997,"+213 561 61 81 13","https://citizengymclub.com/",4.2,178,"lundi: 09:00 – 16:30; mardi: 09:00 – 20:30; mercredi: 09:00 – 20:30; jeudi: 09:00 – 19:30; vendredi: 09:00 – 12:30; samedi: 09:00 – 18:30; dimanche: 09:00 – 20:30"
"ChIJ6a9YkHlSjhIRSDxPElIU_Rs","Hani Hôtel","Cité Segna Lot N. 317, Bab Ezzouar","Alger",36.7302924,3.1779303,"+213 23 80 90 16","http://www.hotel-hani.com/",3.9,498,"lundi: Ouvert 24h/24; mardi: Ouvert 24h/24; mercredi: Ouvert 24h/24; jeudi: Ouvert 24h/24; vendredi: Ouvert 24h/24; samedi: Ouvert 24h/24; dimanche: Ouvert 24h/24"
"ChIJUVxzPvGtjxIRkDGOr3IdMqA","SARL THE GYMLAND","Cité 440 logts , lots de 12 a 23 , Ain el Malha, Djasr Kasentina 16029","Alger",36.6976383,3.0534784000000004,"+213 554 62 82 66","http://www.thegymland.club/",4,157,"lundi: 06:00 – 23:00; mardi: 06:00 – 23:00; mercredi: 06:00 – 23:00; jeudi: 06:00 – 23:00; vendredi: 06:00 – 22:00; samedi: 06:00 – 23:00; dimanche: 06:00 – 23:00"
"ChIJPyGgz66jjxIRYsBRxWBLBr4","DZ1 Foot & Fitness Zeralda","Sidi Menif, Zéralda 16000","Alger",36.7000034,2.8244867,"+213 770 33 30 07","http://www.dzonefoot.com/",4.2,233,"lundi: 05:40 – 00:00; mardi: 05:40 – 00:00; mercredi: 05:40 – 00:00; jeudi: 05:40 – 00:00; vendredi: 05:40 – 00:00; samedi: 05:40 – 00:00; dimanche: 05:40 – 00:00"
"ChIJIc-BHgCzjxIRDX5CSLe6GJw","Golf Elmouradia elmadania","69 Rue Ali Haddad, El Mouradia","Alger",36.7492192,3.0540141999999997,"","",4.5,26,""
"ChIJFdlXlLOxjxIRhKwmWF2Vwcg","Cosmo GYM","Chem. de l'avenir, El Achour","Alger",36.745030299999996,3.0011777,"+213 551 57 46 15","",4.7,44,"lundi: 07:00 – 00:00; mardi: 07:00 – 22:00; mercredi: 07:00 – 00:00; jeudi: 07:00 – 22:00; vendredi: 16:00 – 21:00; samedi: 07:00 – 00:00; dimanche: 07:00 – 22:00"
"ChIJo156IWRPjhIRQbQpCR_Z8Hs","Kora Land 9 Bordj El Kiffan","Q638+QPW, Bordj El Kiffan","Alger",36.75448550000001,3.2168219,"+213 770 95 59 69","",4,88,""
"ChIJp3U8FQCxjxIRG2Ty2j5chS8","Ma fitness Cheraga","QX32+328, Chéraga","Alger",36.7527085,2.9501017,"","",4.1,54,"lundi: 06:00 – 01:00; mardi: 06:00 – 01:00; mercredi: 06:00 – 01:00; jeudi: 06:00 – 01:00; vendredi: 06:00 – 12:00, 15:00 – 01:00; samedi: 06:00 – 01:00; dimanche: 06:00 – 01:00"
"ChIJzU8JNW-tjxIRDD2ZeObaUtg","Fitness city","306 parc ben omar, Kouba","Alger",36.7242332,3.0917418,"+213 770 58 59 59","https://www.facebook.com/fitness.city.dz",4.5,176,"lundi: 05:00 – 22:00; mardi: 05:00 – 22:00; mercredi: 05:00 – 22:00; jeudi: 05:00 – 22:00; vendredi: 15:00 – 21:00; samedi: 07:00 – 22:00; dimanche: 05:00 – 22:00"
"ChIJb7Bv0LazjxIRJ6ecqfEJvqU","Home Fit","19 Rue de Cirta, Hydra 16000","Alger",36.7470052,3.0433613,"+213 562 41 21 70","",3.8,77,"lundi: 06:00 – 22:00; mardi: 06:00 – 22:00; mercredi: 06:00 – 22:00; jeudi: 06:00 – 22:00; vendredi: 08:00 – 12:00, 16:00 – 22:00; samedi: 06:00 – 22:00; dimanche: 06:00 – 22:00"
"ChIJGWIzUHStjxIRQuy426g9XXY","GIGA Fitness","RESIDENCE TAHAR BOUCHAT, Birkhadem","Alger",36.7196826,3.0368662,"+213 560 51 42 64","",4.5,89,""
"ChIJ4bDzVOGxjxIRYD0Np2pKqKc","Tiger Sport","24 Route de Zouaoua، شراقة 16002","Alger",36.763922199999996,2.9653905999999997,"+213 557 88 00 44","",4.8,14,"lundi: 08:00 – 22:00; mardi: 08:00 – 22:00; mercredi: 08:00 – 22:00; jeudi: 08:00 – 22:00; vendredi: 08:00 – 22:00; samedi: 08:00 – 22:00; dimanche: 08:00 – 22:00"
"ChIJK1_m4iywjxIREPPkm71KYX0","JB Fitness","71 Bois des Cars 2, Chéraga","Alger",36.752819699999996,2.9793672,"+213 551 00 70 00","",4,45,""
"ChIJX6xxuU-xjxIRbEZYaRe2wNU","Best body gym cheraga","Cité Alioua Fodil, Chéraga","Alger",36.7616866,2.9512931,"+213 556 64 39 05","",4.7,50,"lundi: 06:00 – 23:00; mardi: 09:00 – 23:00; mercredi: 06:00 – 23:00; jeudi: 06:00 – 23:00; vendredi: 09:00 – 12:00, 16:00 – 21:00; samedi: 08:00 – 23:00; dimanche: 15:00 – 23:00"
"ChIJk3jfX_VTjhIRaMgpb2XqROk","Golden Fitness","1 Rue Chelloug Derradji, El-Harrach 16004","Alger",36.726613799999996,3.1383731999999998,"+213 776 25 24 47","",4.7,112,"lundi: 06:00 – 22:45; mardi: 06:00 – 22:45; mercredi: 06:00 – 22:45; jeudi: 06:00 – 22:45; vendredi: 08:00 – 22:45; samedi: 06:00 – 22:45; dimanche: 06:00 – 22:45"
"ChIJk613_pGvjxIRx-EnU07CBqg","Elle fit & Spa salle de sport","Draria","Alger",36.7276315,3.0048239999999997,"+213 541 22 53 10","https://www.facebook.com/Elle-fit-Spa-2263187047266220/",4.2,90,"lundi: Fermé; mardi: 09:00 – 19:00; mercredi: 09:00 – 19:00; jeudi: 09:00 – 19:00; vendredi: 09:00 – 19:00; samedi: 09:00 – 19:00; dimanche: 09:00 – 19:00"
