place_id,name,address,lat,lng,phone,website,rating,reviews_count,hours
ChIJActANKCyjxIRKI-855fKOiU,Body Fitness Center,"Rue Rabah Takdjourt, Mohamed Belouizdad",36.744718000000006,3.0786935,+213 21 67 67 55,,3.8,49,lundi: 06:00 – 00:00; mardi: 06:00 – 00:00; mercredi: 06:00 – 00:00; jeudi: 06:00 – 00:00; vendredi: 15:00 – 00:00; samedi: 06:00 – 00:00; dimanche: 06:00 – 00:00
ChIJWR9ty3itjxIRyuF1DM0uVUg,Mina Sport,"P3P5+XWV Les sources, 28 Rue Musette, Bir Mourad Raïs 16000",36.7372776,3.0589844,+213 661 57 08 68,,4.4,36,lundi: 09:30 – 21:00; mardi: 08:30 – 21:00; mercredi: 09:30 – 21:00; jeudi: 08:30 – 21:00; vendredi: 09:30 – 12:00; samedi: 09:30 – 21:00; dimanche: 08:30 – 21:00
ChIJK799SdazjxIRYSsw2ECSJUg,SPA Maison Al Fatiha (Hammam & Massage | Que pour Femmes),"P2WH+F9G, Hydra",36.746169099999996,3.0285979999999997,+213 561 16 90 27,https://www.instagram.com/spa.maison.alfatiha?igsh=MWIwZ20wdG01ZzF5dg%3D%3D&utm_source=qr,4.4,134,lundi: 09:00 – 23:00; mardi: 09:00 – 23:00; mercredi: 09:00 – 23:00; jeudi: 09:00 – 23:00; vendredi: 09:00 – 23:00; samedi: 09:00 – 23:00; dimanche: 09:00 – 23:00
ChIJb7Bv0LazjxIRJ6ecqfEJvqU,Home Fit,"19 Rue de Cirta, Hydra 16000",36.7470052,3.0433613,+213 562 41 21 70,,3.8,77,"lundi: 06:00 – 22:00; mardi: 06:00 – 22:00; mercredi: 06:00 – 22:00; jeudi: 06:00 – 22:00; vendredi: 08:00 – 12:00, 16:00 – 22:00; samedi: 06:00 – 22:00; dimanche: 06:00 – 22:00"
ChIJQ1lotKOzjxIRgAzRwuRj_Ic,Mashouda Team,"Rue du Philosophe Aristote Ex rue de la Cordiere BT 04 étage 01 Local n 08 1604, Belouizdad 16015",36.743897499999996,3.0818906,+213 660 84 86 82,https://www.instagram.com/team.mashouda?igsh=MTBuZnE0ajN2NGc2ag%3D%3D&utm_source=qr,4.8,33,lundi: 07:00 – 22:00; mardi: 07:00 – 22:00; mercredi: 07:00 – 22:00; jeudi: 07:00 – 22:00; vendredi: 07:00 – 22:00; samedi: 07:00 – 22:00; dimanche: 07:00 – 22:00
ChIJO_butf6tjxIREdyvCAg4ukE,Fitness house sidi yahia,"2 Chem. Sidi Yahia, Hydra",36.738650799999995,3.0371984999999997,,,3.9,68,lundi: 06:00 – 22:00; mardi: 06:00 – 22:00; mercredi: 06:00 – 22:00; jeudi: 06:00 – 22:00; vendredi: 15:00 – 22:00; samedi: 06:00 – 22:00; dimanche: 06:00 – 22:00
ChIJ9dJX_qyzjxIRWtFRFrBWFik,Energym Alger,"5 rue bouhamidi, Ave Mahmoud Boudjatit, Alger Centre 16000",36.7772714,3.0582778,+213 794 08 14 59,,4.2,108,lundi: 07:00 – 21:00; mardi: 07:00 – 21:00; mercredi: 07:00 – 21:00; jeudi: 07:00 – 21:00; vendredi: Fermé; samedi: 10:30 – 16:00; dimanche: 07:00 – 21:00
ChIJU17l4kSxjxIRiCo9JF3jw70,Flex gym,Ben Aknoun 16000,36.7527547,3.014061,+213 559 73 74 09,,4.2,14,"lundi: 09:00 – 12:00, 14:00 – 23:00; mardi: 09:00 – 12:00, 14:00 – 23:00; mercredi: 09:00 – 18:00, 19:00 – 22:00; jeudi: 09:00 – 22:00; vendredi: 14:00 – 17:00, 18:00 – 22:00; samedi: 09:00 – 12:00, 13:00 – 17:00, 18:00 – 22:00; dimanche: 13:00 – 22:00"
ChIJxQL7axKzjxIRy5se8my0v_4,Évolution fitness El biar,"28 Rue Hamidou Souiki, El Biar",36.771858,3.0345948,+213 549 93 01 25,,4.3,48,lundi: 06:00 – 23:00; mardi: 06:00 – 23:00; mercredi: 06:00 – 23:00; jeudi: 06:00 – 23:00; vendredi: 08:00 – 21:00; samedi: 06:00 – 23:00; dimanche: 06:00 – 23:00
ChIJX35QtJKzjxIRBDhCifrUV8o,Five Gym Club,"Bd Mohamed V, Alger Centre 16000",36.7679931,3.0523602000000003,+213 21 63 68 31,,3.4,94,
ChIJG8nuKxCyjxIR7SIJWNnQl98,ALHAMBRA,"RESIDENCE CHABANI - VAL D'HYDRA RESIDENCE CHABANI, Hydra 16035",36.7547507,3.0298201,+213 20 06 87 46,http://www.alhambra-dz.com/,4.4,36,lundi: 09:00 – 21:00; mardi: 09:00 – 20:00; mercredi: 09:00 – 21:00; jeudi: 09:00 – 20:00; vendredi: Fermé; samedi: 09:00 – 18:00; dimanche: 09:00 – 20:00
ChIJqapeGt6tjxIRExO5t1AJQDY,Oxygène Fitness Club,Hydra,36.739800300000006,3.0382192999999997,+213 770 27 42 74,,4.2,44,lundi: 06:00 – 22:00; mardi: 06:00 – 22:00; mercredi: 06:00 – 22:00; jeudi: 06:00 – 22:00; vendredi: 15:00 – 22:00; samedi: 08:00 – 22:00; dimanche: 06:00 – 22:00
ChIJ09wr5KqtjxIR3dZSoYafSn8,Source fitness & gym,"20 Rue Fabri MARCELLO, Bir Mourad Raïs",36.7368021,3.0623736,+213 772 07 15 06,https://www.instagram.com/source_fitness01,4,22,"lundi: 06:00 – 22:30; mardi: 06:00 – 22:30; mercredi: 06:00 – 22:30; jeudi: 06:00 – 22:30; vendredi: 08:00 – 12:00, 15:30 – 21:30; samedi: 06:00 – 22:30; dimanche: 06:00 – 22:30"
ChIJZ1QfNh-tjxIRVioTzFV25oA,Salle omnisports la concorde,"Chem. de la CONCORDE, Bir Mourad Raïs",36.734186099999995,3.0429945999999997,,,3.9,53,
ChIJSa8iegCzjxIRL2QgiAWC27Y,Khrouba,"Q323+3J2, El Mouradia",36.750139,3.0540092000000003,,,4.3,4,
ChIJ-d3Rh3CzjxIRUD7BqwVsoBY,House of Pain Dz,"Tour, Bd Hales Said, El Madania 16000",36.7456544,3.0599898,+213 781 09 86 02,,4.7,45,lundi: 06:30 – 00:00; mardi: 06:30 – 00:00; mercredi: 06:30 – 00:00; jeudi: 06:30 – 00:00; vendredi: 15:00 – 00:00; samedi: 06:30 – 00:00; dimanche: 06:30 – 00:00
ChIJc7NIH2CtjxIRHhGbNbLHj-Y,Strongbody hydra,"P2QV+FHJ, Hydra",36.7387984,3.0440578,+213 541 81 64 31,https://www.instagram.com/strongbody_hydra22?igsh=MWNpdHR2cTNnZTE2dQ==,4.3,22,lundi: 06:00 – 00:00; mardi: 06:00 – 00:00; mercredi: 06:00 – 00:00; jeudi: 06:00 – 00:00; vendredi: 06:00 – 00:00; samedi: 06:00 – 00:00; dimanche: 06:00 – 00:00
ChIJIc-BHgCzjxIRDX5CSLe6GJw,Golf Elmouradia elmadania,"69 Rue Ali Haddad, El Mouradia",36.7492192,3.0540141999999997,,,4.5,26,
ChIJhTVgEdatjxIRrOjU45jQ528,Body Glad Fitness El Madania,"62 Bd Abderrahmane LAALA, El Madania",36.7423986,3.0643031,+213 559 78 96 58,,3.9,39,lundi: 06:00 – 00:00; mardi: 06:00 – 00:00; mercredi: 06:00 – 00:00; jeudi: 06:00 – 00:00; vendredi: 08:00 – 00:00; samedi: 08:00 – 00:00; dimanche: 06:00 – 00:00
ChIJBd2PZlGtjxIRt3ZA8W6PlyM,Gym time,"P3J9+MMR, Kouba",36.731730899999995,3.0691493,+213 23 70 59 47,,3,24,
